id,user_id,date,category,amount,description
57,1,2024-06-27,Salary,2913.63,Freelance Payment
58,1,2024-01-22,Miscellaneous,-69.1,Gift
59,1,2023-01-05,Salary,3984.31,Freelance Payment
60,1,2023-01-16,Transportation,-89.33,Monthly Metro Pass
61,1,2024-01-18,Transportation,-88.8,Taxi Ride
62,1,2023-02-08,Education,-666.77,Tuition Fee
63,1,2024-03-16,Transportation,-37.69,Gasoline
64,1,2023-10-06,Education,-750.96,Online Course
65,1,2023-05-16,Utilities,-131.36,Gas Bill
66,1,2024-02-19,Miscellaneous,-65.5,Other Expenses
67,1,2023-06-23,Groceries,-223.27,Weekly grocery shopping
68,1,2023-05-12,Rent,-1753.56,Monthly Rent
69,1,2024-07-14,Groceries,-252.69,Weekly grocery shopping
70,1,2023-01-07,Transportation,-62.38,Monthly Metro Pass
71,1,2023-09-12,Rent,-1923.09,Monthly Rent
72,1,2023-06-09,Transportation,-88.94,Gasoline
73,1,2024-04-02,Entertainment,-162.73,Theater tickets
74,1,2023-11-24,Transportation,-35.46,Gasoline
75,1,2024-03-06,Groceries,-151.09,Supermarket
76,1,2024-06-21,Utilities,-112.77,Gas Bill
77,1,2024-05-30,Rent,-1512.24,Monthly Rent
78,1,2023-11-12,Dining,-46.81,Cafe
79,1,2024-04-06,Transportation,-73.12,Gasoline
80,1,2024-03-04,Dining,-33.02,Fast Food
81,1,2023-09-11,Entertainment,-106.75,Concert tickets
82,1,2023-05-07,Rent,-1298.64,Monthly Rent
83,1,2023-04-01,Salary,4485.09,Monthly Salary
84,1,2024-09-05,Rent,-1923.59,Monthly Rent
85,1,2024-01-28,Salary,3172.64,Bonus
86,1,2024-07-19,Dining,-86.66,Cafe
87,1,2024-01-23,Utilities,-143.46,Internet Bill
88,1,2024-09-10,Entertainment,-139.42,Theater tickets
89,1,2024-08-12,Transportation,-64.13,Monthly Metro Pass
90,1,2023-11-12,Utilities,-186.9,Water Bill
91,1,2023-10-10,Transportation,-147.33,Gasoline
92,1,2024-08-11,Miscellaneous,-73.25,Other Expenses
93,1,2024-08-17,Groceries,-283.47,Weekly grocery shopping
94,1,2023-06-02,Education,-754.18,Books Purchase
95,1,2023-08-22,Groceries,-185.23,Organic Market
96,1,2023-10-17,Entertainment,-185.45,Theater tickets
97,1,2023-04-25,Groceries,-103.23,Supermarket
98,1,2024-05-08,Healthcare,-394.64,Health Insurance
99,1,2023-02-11,Utilities,-95.38,Water Bill
100,1,2023-08-06,Entertainment,-65.48,Concert tickets
